sample	moss_0.001_1x	moss_0.001_2x	moss_0.001_4x	moss_0.001_8x	moss_0.002_1x	moss_0.002_2x	moss_0.002_4x	moss_0.002_8x	moss_0.004_1x	moss_0.004_2x	moss_0.004_4x	moss_0.004_8x	moss_0.006_1x	moss_0.006_2x	moss_0.006_4x	moss_0.006_8x	moss_0.008_1x	moss_0.008_2x	moss_0.008_4x	moss_0.008_8x	moss_0.01_1x	moss_0.01_2x	moss_0.01_4x	moss_0.01_8x	moss_0.02_1x	moss_0.02_2x	moss_0.02_4x	moss_0.02_8x	moss_0.0_1x	moss_0.0_2x	moss_0.0_4x	moss_0.0_8x
moss_0.004_4x	0.00969	0.00806	0.00825	0.01104	0.0109	0.00886	0.0088	0.01137	0.00672	0.00437	0.0	0.00233	0.01481	0.01246	0.01098	0.01315	0.0166	0.01429	0.01224	0.0142	0.0186	0.01604	0.01335	0.01528	0.0271	0.0245	0.02014	0.02164	0.00904	0.00721	0.00772	0.01068
moss_0.004_8x	0.01377	0.01221	0.01141	0.01455	0.01498	0.0131	0.01172	0.01469	0.01062	0.00843	0.00242	0.0	0.01881	0.01655	0.01363	0.01597	0.0207	0.01846	0.01462	0.01704	0.02256	0.01977	0.0156	0.01804	0.03058	0.02831	0.02171	0.02398	0.01311	0.01149	0.01105	0.01435
moss_0.006_1x	0.00656	0.00691	0.0123	0.01639	0.00764	0.00788	0.01317	0.01703	0.0099	0.00976	0.01496	0.01824	0.0	0.0	0.00736	0.01068	0.01367	0.01324	0.01829	0.02099	0.01549	0.01486	0.0198	0.02229	0.02345	0.02304	0.02726	0.02927	0.00579	0.00568	0.01131	0.01585
moss_0.006_2x	0.00574	0.00593	0.0099	0.01407	0.0068	0.00677	0.01075	0.01475	0.00895	0.00862	0.01231	0.01571	0.0	0.0	0.00431	0.00782	0.0129	0.01233	0.01538	0.01837	0.01478	0.01411	0.01675	0.01953	0.02327	0.0228	0.0242	0.0266	0.00478	0.00486	0.00914	0.01354
moss_0.006_4x	0.01131	0.00968	0.00939	0.01198	0.01257	0.01033	0.00998	0.01244	0.01448	0.01236	0.01097	0.01312	0.0073	0.00436	0.0	0.0	0.01814	0.01579	0.01321	0.01505	0.02016	0.01735	0.01434	0.016	0.02846	0.02576	0.02089	0.02224	0.01074	0.00873	0.00894	0.01168
moss_0.006_8x	0.01517	0.01353	0.01252	0.01527	0.01633	0.01431	0.01279	0.01548	0.01824	0.01627	0.01361	0.01594	0.01104	0.00824	0.0	0.0	0.02198	0.01965	0.01537	0.01771	0.02368	0.02097	0.0163	0.01852	0.03189	0.0296	0.02236	0.02452	0.01455	0.01275	0.01219	0.01498
moss_0.008_1x	0.00867	0.00889	0.01417	0.01813	0.00955	0.00992	0.01517	0.01879	0.01153	0.01158	0.01676	0.02007	0.01365	0.0132	0.01836	0.0214	0.0	0.0	0.00761	0.01044	0.01722	0.01677	0.0215	0.02396	0.02493	0.02478	0.02881	0.03075	0.00763	0.00813	0.01335	0.01745
moss_0.008_2x	0.0076	0.00795	0.01165	0.01589	0.00858	0.00882	0.01254	0.01647	0.01064	0.0106	0.0141	0.01752	0.01291	0.01232	0.01561	0.01871	0.0	0.0	0.00439	0.00754	0.01678	0.01579	0.01853	0.02122	0.02451	0.02421	0.0258	0.02796	0.00684	0.00701	0.01096	0.01522
moss_0.008_4x	0.01304	0.01124	0.01063	0.01309	0.01422	0.01198	0.01118	0.01331	0.01599	0.0139	0.01221	0.01405	0.01803	0.01552	0.0132	0.01483	0.00754	0.00445	0.0	0.0	0.02171	0.01882	0.01548	0.01686	0.02955	0.02703	0.02174	0.02316	0.01232	0.01038	0.01027	0.0126
moss_0.008_8x	0.01661	0.01489	0.01363	0.0162	0.01776	0.01572	0.01401	0.01649	0.0196	0.01761	0.01468	0.01699	0.02152	0.01924	0.01557	0.0177	0.01079	0.00795	0.0	0.0	0.02502	0.02219	0.01727	0.01952	0.03291	0.03064	0.02331	0.02534	0.01606	0.01419	0.01335	0.01598
moss_0.01_1x	0.01051	0.01111	0.01621	0.01996	0.01133	0.01185	0.01716	0.02067	0.01338	0.01375	0.01878	0.02187	0.01546	0.01511	0.02039	0.02304	0.0172	0.01718	0.02199	0.02438	0.0	0.0	0.0078	0.0103	0.02664	0.02619	0.03045	0.03216	0.00974	0.01011	0.01526	0.0193
moss_0.01_2x	0.00939	0.00976	0.0135	0.01724	0.01038	0.01044	0.01427	0.01783	0.01241	0.01239	0.01582	0.01875	0.01448	0.01408	0.01714	0.01996	0.01635	0.01578	0.01862	0.02115	0.0	0.0	0.00423	0.0069	0.02615	0.02567	0.02695	0.02885	0.00865	0.00888	0.0127	0.01673
moss_0.01_4x	0.01458	0.01263	0.01184	0.01398	0.01569	0.01342	0.01235	0.01438	0.01758	0.01525	0.01331	0.01499	0.0195	0.01689	0.01431	0.01571	0.02118	0.0187	0.01547	0.01666	0.00772	0.00429	0.0	0.0	0.0309	0.02813	0.02264	0.02376	0.0139	0.01187	0.01152	0.01372
moss_0.01_8x	0.01775	0.01611	0.0147	0.017	0.01898	0.017	0.01503	0.01725	0.02096	0.01881	0.01578	0.01797	0.02282	0.02044	0.01654	0.01849	0.02454	0.02222	0.01745	0.01951	0.01064	0.00728	0.0	0.0	0.03399	0.03158	0.02419	0.02603	0.01719	0.01547	0.0144	0.01686
moss_0.02_1x	0.01923	0.02014	0.02489	0.02828	0.02001	0.02092	0.02561	0.02888	0.02171	0.02229	0.02741	0.02974	0.0234	0.02379	0.02881	0.03112	0.0249	0.02509	0.02996	0.03216	0.02663	0.02679	0.03136	0.03324	0.0	0.0	0.00753	0.0093	0.01835	0.01949	0.02397	0.02774
moss_0.02_2x	0.01796	0.0188	0.02216	0.02542	0.01881	0.01955	0.02284	0.02594	0.02082	0.02103	0.02418	0.02692	0.02242	0.02274	0.02546	0.02824	0.02414	0.02417	0.02675	0.02927	0.02554	0.02565	0.02786	0.03019	0.0	0.0	0.00338	0.00555	0.01726	0.01793	0.02151	0.025
moss_0.02_4x	0.02211	0.02032	0.01891	0.01998	0.02338	0.02102	0.01928	0.0203	0.02504	0.02278	0.02004	0.02086	0.02678	0.02434	0.02082	0.02154	0.02832	0.02596	0.02169	0.02248	0.02995	0.02715	0.02261	0.02335	0.00745	0.00342	0.0	0.0	0.0215	0.01965	0.01845	0.01987
moss_0.02_8x	0.02508	0.02363	0.02129	0.02319	0.02629	0.02431	0.02153	0.0234	0.02788	0.02607	0.02227	0.02385	0.02983	0.0277	0.02292	0.02444	0.03136	0.02915	0.02389	0.02528	0.03282	0.0301	0.02453	0.02599	0.0096	0.00585	0.0	0.0	0.02465	0.02299	0.0211	0.02315
moss_0.0_1x	0.0	0.00041	0.00642	0.01095	0.00144	0.00136	0.00736	0.01174	0.00367	0.00347	0.00922	0.01282	0.00586	0.00494	0.01097	0.01429	0.00773	0.00708	0.0126	0.0158	0.00987	0.00897	0.01424	0.01693	0.0186	0.01792	0.0221	0.02442	0.0	0.0	0.00533	0.01029
moss_0.0_2x	0.0	0.0	0.00464	0.00916	0.00148	0.0012	0.00552	0.00984	0.00375	0.00332	0.00715	0.01095	0.00559	0.00489	0.00868	0.0122	0.00801	0.00706	0.01033	0.0136	0.00995	0.00895	0.01184	0.01486	0.01918	0.01808	0.01964	0.02218	0.0	0.0	0.00369	0.00856
moss_0.0_4x	0.00596	0.00478	0.00595	0.00954	0.0073	0.00562	0.00662	0.00996	0.00932	0.00746	0.00778	0.01073	0.01129	0.00933	0.00902	0.01187	0.01333	0.0112	0.01037	0.01301	0.01525	0.01298	0.01165	0.01405	0.02389	0.02196	0.01867	0.02065	0.00528	0.00375	0.0	0.0092
moss_0.0_8x	0.01116	0.00984	0.00974	0.01356	0.01252	0.01063	0.01015	0.01375	0.01441	0.01267	0.01113	0.0144	0.01645	0.01434	0.01219	0.01507	0.0181	0.01613	0.01316	0.01608	0.02003	0.01773	0.01434	0.01699	0.02868	0.02642	0.02077	0.02335	0.0106	0.00903	0.00952	0.0
